path,size,sha256,decision,reason
.dockerignore,78,3b78a8e68540f120c82dca3a4133702a0811601786a6a24902b0039bd5a9c749,versionar,"Código, configuración, documentación o recurso del producto"
.env.example,1966,25afa661baeed52882cb7e211e37c8ca45a3877d56227632cdafc081ed2ced6e,versionar,"Código, configuración, documentación o recurso del producto"
00_LEEME_PRIMERO.txt,571,42682a51a1bac73b3653f8139e7fce6c7d2188198da37b361f027b49a4d48478,versionar,"Código, configuración, documentación o recurso del producto"
12_ENSAYAR_DESPLIEGUE.command,1709,6d354c3436d9efc258d496be48dab226e185357d06cb006364c57ac29fd2f875,mover_scripts_macos,Script macOS; reorganizar en scripts/macos preservando permisos
13_INICIAR_STACK_ENSAYO.command,4236,918194ed14f1bdd401d06708837a41c459e6aa1a522e343db344968a7ecd6a97,mover_scripts_macos,Script macOS; reorganizar en scripts/macos preservando permisos
14_CERTIFICAR_VERSION.command,1801,3d2c792d2a602f90a0d85f6b25b7e5ada365c5e37f6ddae384251a18e1083f60,mover_scripts_macos,Script macOS; reorganizar en scripts/macos preservando permisos
15_PREPARAR_Y_CERTIFICAR_DEMO.command,1655,6261bbb452067d73146fc1c80c40191e2e060ac3ae395bbf10ccb9b4f2a76cfb,mover_scripts_macos,Script macOS; reorganizar en scripts/macos preservando permisos
1_INSTALAR_Y_ABRIR.command,134,f99eabf19c498f39b4eb6a25dabbc3b8ac740aafaa8e042e2dc36c0ef396f5d5,mover_scripts_macos,Script macOS; reorganizar en scripts/macos preservando permisos
2_ABRIR_CALCULA_TU_HUELLA.command,118,52ccee07b2a0fa5801f1a57178e2f67e3702e6bfb82430eb3770e1d21a7d2549,mover_scripts_macos,Script macOS; reorganizar en scripts/macos preservando permisos
3_DETENER_CALCULA_TU_HUELLA.command,1377,0bb53c96e281ba1b844a9b31bf8a6af5342a9d38c1c6932f107f438f51058308,mover_scripts_macos,Script macOS; reorganizar en scripts/macos preservando permisos
4_VER_ESTADO.command,1509,8a83d4fe2a87514c73ad303660efda7d118b0f53bad56eeac4ed0d86308b3edf,mover_scripts_macos,Script macOS; reorganizar en scripts/macos preservando permisos
5_DIAGNOSTICO_SEGURIDAD.command,802,2a2dbc1d81c99556d5b31c99b136b8aa7eb5d2c6397e6dda65e7dd5014e9dedf,mover_scripts_macos,Script macOS; reorganizar en scripts/macos preservando permisos
6_ENSAYAR_RESTAURACION.command,1231,acfd1782e7209fe660d4d3b9797de9a21990179bd205744dd873ed4ea3eec669,mover_scripts_macos,Script macOS; reorganizar en scripts/macos preservando permisos
8_MIGRAR_POSTGRESQL_ENSAYO.command,1331,839bbdd6fc137039becfd17e6051ad77a273430d74e5f6b0417839be8c7fe6eb,mover_scripts_macos,Script macOS; reorganizar en scripts/macos preservando permisos
ABRIR_CALCULA_TU_HUELLA.command,4176,b095c8e0f0069083ebf472c3c41811b068d782fd61d56adde57e88b3751dd67a,mover_scripts_macos,Script macOS; reorganizar en scripts/macos preservando permisos
CHANGELOG.md,5047,2fc7f909224e9c5c612102d47a0e242d081c6b7ba6ab4acf582691c6fe372611,versionar,"Código, configuración, documentación o recurso del producto"
Caddyfile,354,3b9906859fce032f4d727e6c2d38021d09f02eabf3737eb4d7183d5c326f36ec,versionar,"Código, configuración, documentación o recurso del producto"
Caddyfile.trial,304,b1ff32dec9f3137c3c7d26db0a5b79d78bd396d19948f73ea3c095245f011e3a,versionar,"Código, configuración, documentación o recurso del producto"
Calcula tu Huella.app/Contents/Info.plist,722,75e300c22c96cebc19c21f3b0779ec4301ee9a78bfbf990e4a6626890964b599,mover_packaging,Fuente de empaquetado macOS; reorganizar en packaging/macos
Calcula tu Huella.app/Contents/MacOS/CalculaTuHuella,620,0bac5fb6a243b6b543c07be09040b924352833de0d7f33bfbfb7cf686b2dc6ab,mover_packaging,Fuente de empaquetado macOS; reorganizar en packaging/macos
Dockerfile,680,bf4efcde496708ca6436fd4c9735ec56c7e0322be738309a80b3e030273fe2d0,versionar,"Código, configuración, documentación o recurso del producto"
INSTALAR_O_ACTUALIZAR_CALCULA_TU_HUELLA.command,3588,236f08edf7e9611f7a856bc110254488f93a4b1dc00b9afbecf41ff657cb6af0,mover_scripts_macos,Script macOS; reorganizar en scripts/macos preservando permisos
LEEME_PRIMERO.txt,571,42682a51a1bac73b3653f8139e7fce6c7d2188198da37b361f027b49a4d48478,versionar,"Código, configuración, documentación o recurso del producto"
MACOS.md,1000,7e7e912afab3b1e41e8852aaaa15f922553caab2c69d6ee954c0f9b21176ceaa,versionar,"Código, configuración, documentación o recurso del producto"
METODOLOGIA_Y_LIMITACIONES.md,533,132e0efbe488d0190bf3a400f2df3b9827ed278bf2bb98fbdced954089b696c7,versionar,"Código, configuración, documentación o recurso del producto"
PRODUCCION.md,753,f12e73ea96e932ca7799986644efcc9e9c56c2738240db6eed7d1b6cad2e1de5,versionar,"Código, configuración, documentación o recurso del producto"
README.md,2200,ef90fe0889d2081ee49043c374f0d9743e9dae7c17b80ff702aa61735ffd532b,versionar,"Código, configuración, documentación o recurso del producto"
SECURITY.md,568,ed1e63f1e3b87020b653a6f39d89f0fc10bfd1621aa76f422da148096e96749c,versionar,"Código, configuración, documentación o recurso del producto"
VALIDACION_V0_31.md,1201,3ff9a34554cc34e666459eae9a7e17be6ea74a02040d69c46921a81ee3558df9,versionar_documentacion,Documentación vigente o trazabilidad histórica
VALIDACION_V0_32.md,2467,a104af26591cddc1e7cce83ea9a6027fbff948b02a6c4d03f6d57c142e3d27c5,versionar_documentacion,Documentación vigente o trazabilidad histórica
VALIDACION_V0_33.md,1502,251675e9ea99d55db7b7e1077567b37b6d5ab1ca622f0018d93d40f05ae8f5c0,versionar_documentacion,Documentación vigente o trazabilidad histórica
VALIDACION_V0_34.md,3089,19137ad35ea2eba59bedae0164798697c361c25bda2f70ac6498460a879eb5bb,versionar_documentacion,Documentación vigente o trazabilidad histórica
